criaUtilizador,jose.matos@email.com,José matos,Rua Monte de Aldão - Guimarães,255372442
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF
criaUtilizador,EMAIL,NOME,MORADA,NIF

criaTransportadora,NOME,LUCRO,EXTRA(só em PREMIUM),PREMIUM
criaTransportadora,NOME,LUCRO,EXTRA(só em PREMIUM),PREMIUM
criaTransportadora,NOME,LUCRO,EXTRA(só em PREMIUM),PREMIUM
criaTransportadora,NOME,LUCRO,EXTRA(só em PREMIUM),PREMIUM
criaTransportadora,NOME,LUCRO,EXTRA(só em PREMIUM),PREMIUM

criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM
criaArtigo,TIPO,CODVENDEDOR,ESTADO,NDONOS,DESCRICAO,MARCA,PRECO,TRANSPORTADORA,C,L,A,TMATERIAL,ANO,PREMIUM

criaEncomenda,CODCOMPRADOR,DIMENSAO
criaEncomenda,CODCOMPRADOR,DIMENSAO
criaEncomenda,CODCOMPRADOR,DIMENSAO
criaEncomenda,CODCOMPRADOR,DIMENSAO
criaEncomenda,CODCOMPRADOR,DIMENSAO
